Src,aux,Dest,Weight
Agente6392,1,Agente24523,1
Agente10681,1,Agente26582,1
Agente17416,1,Agente13841,1
Agente12189,1,Agente24095,1
Agente27827,1,Agente25350,1
Agente23944,1,Agente21625,1
Agente25272,1,Agente4254,1
Agente17445,1,Agente4254,1
Agente30292,1,Agente9326,1
Agente13326,1,Agente23623,1
Agente19536,1,Agente31249,1
Agente426,1,Agente20203,1
Agente14590,1,Agente21127,1
Agente20245,1,Agente24095,1
Agente13792,1,Agente14801,1
Agente16643,1,Agente16558,1
Agente21122,1,Agente8556,1
Agente20891,1,Agente2420,1
Agente23920,1,Agente15169,1
Agente10776,1,Agente25401,1
Agente16602,1,Agente17700,1
Agente13500,1,Agente3111,1
Agente9912,1,Agente23022,1
Agente23016,1,Agente26689,1
Agente26200,1,Agente18874,1
Agente4017,1,Agente16602,1
Agente14843,1,Agente10070,1
Agente9869,1,Agente6510,1
Agente24377,1,Agente25751,1
Agente4632,1,Agente16555,1
Agente24828,1,Agente9062,1
Agente1722,1,Agente22047,1
Agente22616,1,Agente7954,1
Agente6098,1,Agente15612,1
Agente1610,1,Agente2900,1
Agente20217,1,Agente15683,1
Agente18537,1,Agente15171,1
Agente22290,1,Agente25205,1
Agente17059,1,Agente11462,1
Agente8464,1,Agente9060,1
